groupOfNumbers = 6
totalNumberOfDraws = 29
totalNumberOfNumbers = 174

numbers,count,probHistory,probTheory,expected,share

3-9-36-39-43-47,1,0.03448276,0.00000007,0.00000207,0.03448276
1-6-15-26-29-30,1,0.03448276,0.00000007,0.00000207,0.03448276
8-9-13-15-38-48,1,0.03448276,0.00000007,0.00000207,0.03448276
9-13-17-25-31-41,1,0.03448276,0.00000007,0.00000207,0.03448276
1-5-15-25-44-49,1,0.03448276,0.00000007,0.00000207,0.03448276
2-12-14-21-39-49,1,0.03448276,0.00000007,0.00000207,0.03448276
11-16-33-39-42-44,1,0.03448276,0.00000007,0.00000207,0.03448276
6-8-14-22-34-40,1,0.03448276,0.00000007,0.00000207,0.03448276
2-5-13-14-15-39,1,0.03448276,0.00000007,0.00000207,0.03448276
9-12-21-25-44-48,1,0.03448276,0.00000007,0.00000207,0.03448276
9-22-23-26-39-49,1,0.03448276,0.00000007,0.00000207,0.03448276
5-12-13-16-23-24,1,0.03448276,0.00000007,0.00000207,0.03448276
1-19-26-32-38-41,1,0.03448276,0.00000007,0.00000207,0.03448276
2-10-19-25-30-36,1,0.03448276,0.00000007,0.00000207,0.03448276
3-7-8-9-24-42,1,0.03448276,0.00000007,0.00000207,0.03448276
1-21-25-27-32-47,1,0.03448276,0.00000007,0.00000207,0.03448276
2-6-12-24-31-36,1,0.03448276,0.00000007,0.00000207,0.03448276
5-8-11-31-42-48,1,0.03448276,0.00000007,0.00000207,0.03448276
9-10-14-26-28-47,1,0.03448276,0.00000007,0.00000207,0.03448276
6-11-13-21-25-43,1,0.03448276,0.00000007,0.00000207,0.03448276
5-10-12-30-37-48,1,0.03448276,0.00000007,0.00000207,0.03448276
1-3-6-12-13-14,1,0.03448276,0.00000007,0.00000207,0.03448276
8-15-23-43-45-47,1,0.03448276,0.00000007,0.00000207,0.03448276
7-13-21-29-31-36,1,0.03448276,0.00000007,0.00000207,0.03448276
3-4-7-8-14-26,1,0.03448276,0.00000007,0.00000207,0.03448276
7-10-21-22-42-45,1,0.03448276,0.00000007,0.00000207,0.03448276
25-26-32-38-39-46,1,0.03448276,0.00000007,0.00000207,0.03448276
9-26-31-40-45-48,1,0.03448276,0.00000007,0.00000207,0.03448276
14-19-20-45-48-49,1,0.03448276,0.00000007,0.00000207,0.03448276
