groupOfNumbers = 1
totalNumberOfDraws = 2565
totalNumberOfNumbers = 15390

numbers,count,probHistory,probTheory,expected,share

40,306,0.11929825,0.12244898,314.08163265,0.01988304
47,294,0.11461988,0.12244898,314.08163265,0.01910331
7,326,0.12709552,0.12244898,314.08163265,0.02118259
24,306,0.11929825,0.12244898,314.08163265,0.01988304
16,321,0.12514620,0.12244898,314.08163265,0.02085770
32,323,0.12592593,0.12244898,314.08163265,0.02098765
23,315,0.12280702,0.12244898,314.08163265,0.02046784
39,302,0.11773879,0.12244898,314.08163265,0.01962313
31,303,0.11812865,0.12244898,314.08163265,0.01968811
8,305,0.11890838,0.12244898,314.08163265,0.01981806
15,329,0.12826511,0.12244898,314.08163265,0.02137752
48,294,0.11461988,0.12244898,314.08163265,0.01910331
46,335,0.13060429,0.12244898,314.08163265,0.02176738
6,342,0.13333333,0.12244898,314.08163265,0.02222222
30,314,0.12241715,0.12244898,314.08163265,0.02040286
22,295,0.11500975,0.12244898,314.08163265,0.01916829
14,318,0.12397661,0.12244898,314.08163265,0.02066277
38,357,0.13918129,0.12244898,314.08163265,0.02319688
29,282,0.10994152,0.12244898,314.08163265,0.01832359
5,324,0.12631579,0.12244898,314.08163265,0.02105263
21,319,0.12436647,0.12244898,314.08163265,0.02072775
13,333,0.12982456,0.12244898,314.08163265,0.02163743
25,316,0.12319688,0.12244898,314.08163265,0.02053281
9,307,0.11968811,0.12244898,314.08163265,0.01994802
17,336,0.13099415,0.12244898,314.08163265,0.02183236
41,322,0.12553606,0.12244898,314.08163265,0.02092268
2,333,0.12982456,0.12244898,314.08163265,0.02163743
44,314,0.12241715,0.12244898,314.08163265,0.02040286
12,319,0.12436647,0.12244898,314.08163265,0.02072775
49,328,0.12787524,0.12244898,314.08163265,0.02131254
26,300,0.11695906,0.12244898,314.08163265,0.01949318
1,317,0.12358674,0.12244898,314.08163265,0.02059779
19,297,0.11578947,0.12244898,314.08163265,0.01929825
43,297,0.11578947,0.12244898,314.08163265,0.01929825
11,309,0.12046784,0.12244898,314.08163265,0.02007797
33,278,0.10838207,0.12244898,314.08163265,0.01806368
42,308,0.12007797,0.12244898,314.08163265,0.02001300
10,320,0.12475634,0.12244898,314.08163265,0.02079272
4,326,0.12709552,0.12244898,314.08163265,0.02118259
36,321,0.12514620,0.12244898,314.08163265,0.02085770
35,290,0.11306043,0.12244898,314.08163265,0.01884340
3,318,0.12397661,0.12244898,314.08163265,0.02066277
27,319,0.12436647,0.12244898,314.08163265,0.02072775
34,320,0.12475634,0.12244898,314.08163265,0.02079272
45,296,0.11539961,0.12244898,314.08163265,0.01923327
37,300,0.11695906,0.12244898,314.08163265,0.01949318
28,327,0.12748538,0.12244898,314.08163265,0.02124756
20,323,0.12592593,0.12244898,314.08163265,0.02098765
18,306,0.11929825,0.12244898,314.08163265,0.01988304
