drawSystemId,drawDate,gameType,n1,n2,n3,n4,n5,n6
7319,2026-02-26T21:00:00Z,Lotto,8,9,13,15,38,48
7318,2026-02-24T21:00:00Z,Lotto,9,13,17,25,31,41
7317,2026-02-21T21:00:00Z,Lotto,2,12,14,21,39,49
7316,2026-02-19T21:00:00Z,Lotto,2,5,13,14,15,39
7315,2026-02-17T21:00:00Z,Lotto,9,22,23,26,39,49
7314,2026-02-14T21:00:00Z,Lotto,1,19,26,32,38,41
7313,2026-02-12T21:00:00Z,Lotto,11,16,33,39,42,44
7312,2026-02-10T21:00:00Z,Lotto,5,12,13,16,23,24
7311,2026-02-07T21:00:00Z,Lotto,2,10,19,25,30,36
7310,2026-02-05T21:00:00Z,Lotto,3,7,8,9,24,42
7309,2026-02-03T21:00:00Z,Lotto,1,21,25,27,32,47
7308,2026-01-31T21:00:00Z,Lotto,6,8,14,22,34,40
7307,2026-01-29T21:00:00Z,Lotto,2,6,12,24,31,36
7306,2026-01-27T21:00:00Z,Lotto,5,8,11,31,42,48
7305,2026-01-24T21:00:00Z,Lotto,6,11,13,21,25,43
7304,2026-01-22T21:00:00Z,Lotto,1,5,15,25,44,49
7303,2026-01-20T21:00:00Z,Lotto,5,10,12,30,37,48
7302,2026-01-17T21:00:00Z,Lotto,1,3,6,12,13,14
7301,2026-01-15T21:00:00Z,Lotto,8,15,23,43,45,47
7300,2026-01-13T21:00:00Z,Lotto,7,13,21,29,31,36
7299,2026-01-10T21:00:00Z,Lotto,3,4,7,8,14,26
7298,2026-01-08T21:00:00Z,Lotto,9,12,21,25,44,48
7297,2026-01-06T21:00:00Z,Lotto,9,10,14,26,28,47
7296,2026-01-03T21:00:00Z,Lotto,7,10,21,22,42,45
7295,2026-01-01T21:00:00Z,Lotto,25,26,32,38,39,46
7294,2025-12-30T21:00:00Z,Lotto,1,6,15,26,29,30
7293,2025-12-27T21:00:00Z,Lotto,9,26,31,40,45,48
7292,2025-12-25T21:00:00Z,Lotto,14,19,20,45,48,49
7291,2025-12-23T21:00:00Z,Lotto,3,9,36,39,43,47
7290,2025-12-20T21:00:00Z,Lotto,4,6,11,16,24,41
7289,2025-12-18T21:00:00Z,Lotto,10,20,26,33,37,38
7288,2025-12-16T21:00:00Z,Lotto,17,25,26,27,32,37
7287,2025-12-13T21:00:00Z,Lotto,3,10,14,45,47,49
7286,2025-12-11T21:00:00Z,Lotto,1,5,11,38,42,46
7285,2025-12-09T21:00:00Z,Lotto,2,10,22,26,31,40
7284,2025-12-06T21:00:00Z,Lotto,4,14,25,27,43,44
7283,2025-12-04T21:00:00Z,Lotto,21,23,32,45,46,47
7282,2025-12-02T21:00:00Z,Lotto,3,9,29,30,32,47
7281,2025-11-29T21:00:00Z,Lotto,3,23,28,31,42,46
7280,2025-11-27T21:00:00Z,Lotto,27,33,38,43,45,47
7279,2025-11-25T21:00:00Z,Lotto,3,9,26,31,42,44
7278,2025-11-22T21:00:00Z,Lotto,8,22,31,43,45,49
7277,2025-11-20T21:00:00Z,Lotto,9,19,20,22,27,44
7276,2025-11-18T21:00:00Z,Lotto,7,13,22,30,38,39
7275,2025-11-15T21:00:00Z,Lotto,2,12,19,32,39,44
7274,2025-11-13T21:00:00Z,Lotto,1,18,31,37,42,43
7273,2025-11-11T21:00:00Z,Lotto,1,5,14,26,46,47
7272,2025-11-08T21:00:00Z,Lotto,7,10,20,30,35,39
7271,2025-11-06T21:00:00Z,Lotto,20,29,33,34,39,42
7270,2025-11-04T21:00:00Z,Lotto,4,23,34,37,45,46
7269,2025-11-01T21:00:00Z,Lotto,8,14,15,28,40,46
7268,2025-10-30T21:00:00Z,Lotto,3,10,15,30,31,49
7267,2025-10-28T21:00:00Z,Lotto,18,22,27,31,34,47
7266,2025-10-25T20:00:00Z,Lotto,11,20,21,27,39,46
7265,2025-10-23T20:00:00Z,Lotto,8,11,18,26,45,49
7264,2025-10-21T20:00:00Z,Lotto,11,15,19,27,28,45
7263,2025-10-18T20:00:00Z,Lotto,4,13,14,16,38,47
7262,2025-10-16T20:00:00Z,Lotto,6,7,17,30,39,49
7261,2025-10-14T20:00:00Z,Lotto,7,15,17,20,36,48
7260,2025-10-11T20:00:00Z,Lotto,10,32,34,36,43,45
7259,2025-10-09T20:00:00Z,Lotto,17,18,31,36,42,43
7258,2025-10-07T20:00:00Z,Lotto,3,7,21,27,32,45
7257,2025-10-04T20:00:00Z,Lotto,10,12,29,37,39,45
7256,2025-10-02T20:00:00Z,Lotto,2,5,14,36,40,44
7255,2025-09-30T20:00:00Z,Lotto,12,35,36,37,39,40
7254,2025-09-27T20:00:00Z,Lotto,6,12,17,20,32,46
7253,2025-09-25T20:00:00Z,Lotto,2,5,25,26,27,45
7252,2025-09-23T20:00:00Z,Lotto,6,11,20,24,32,33
7251,2025-09-20T20:00:00Z,Lotto,5,9,11,14,35,36
7250,2025-09-18T20:00:00Z,Lotto,6,15,20,24,34,43
7249,2025-09-16T20:00:00Z,Lotto,5,6,7,37,40,49
7248,2025-09-13T20:00:00Z,Lotto,3,13,14,18,25,27
7247,2025-09-11T20:00:00Z,Lotto,6,7,24,31,34,42
7246,2025-09-09T20:00:00Z,Lotto,1,19,23,31,34,44
7245,2025-09-06T20:00:00Z,Lotto,15,26,33,34,38,44
7244,2025-09-04T20:00:00Z,Lotto,2,15,27,30,37,47
7243,2025-09-02T20:00:00Z,Lotto,12,13,14,23,33,36
7242,2025-08-30T20:00:00Z,Lotto,14,30,32,36,40,46
7241,2025-08-28T20:00:00Z,Lotto,11,14,18,20,30,41
7240,2025-08-26T20:00:00Z,Lotto,10,18,22,32,36,45
7239,2025-08-23T20:00:00Z,Lotto,6,8,19,27,28,30
7238,2025-08-21T20:00:00Z,Lotto,7,12,24,30,32,46
7237,2025-08-19T20:00:00Z,Lotto,3,13,34,38,40,43
7236,2025-08-16T20:00:00Z,Lotto,17,21,22,44,45,46
7235,2025-08-14T20:00:00Z,Lotto,3,6,13,29,43,46
